option_type,maturity,strike,option_price
1,3/22/2019,1647.5,69.01
1,3/22/2019,1650,69.15
1,3/22/2019,1652.5,64.69
1,3/22/2019,1655,69.8
1,3/22/2019,1657.5,67.6
1,3/22/2019,1660,63
1,3/22/2019,1662.5,62.24
1,3/22/2019,1665,55.52
1,3/22/2019,1667.5,71.8
1,3/22/2019,1670,64.4
-1,3/22/2019,1645,55.55
-1,3/22/2019,1647.5,64.68
-1,3/22/2019,1650,57.73
-1,3/22/2019,1652.5,58.75
-1,3/22/2019,1655,75.38
-1,3/22/2019,1660,61.7
-1,3/22/2019,1665,89
-1,3/22/2019,1670,81.3
-1,3/22/2019,1680,82.47
-1,3/22/2019,1690,88.8
